"Team","City","Stadium","Latitude","Longitude","Dome_Stadium"
"Arizona Cardinals","Glendale","State Farm Stadium",33.5276,-112.2626,"Retractable Roof"
"Atlanta Falcons","Atlanta","Mercedes-Benz Stadium",33.7553,-84.4003,"Retractable Roof"
"Baltimore Ravens","Baltimore","M&T Bank Stadium",39.2781,-76.6228,"Stadium"
"Buffalo Bills","Orchard Park","Highmark Stadium",42.7737,-78.7869,"Stadium"
"Carolina Panthers","Charlotte","Bank of America Stadium",35.2258,-80.8528,"Stadium"
"Chicago Bears","Chicago","Soldier Field",41.8623,-87.6167,"Stadium"
"Cincinnati Bengals","Cincinnati","Paycor Stadium",39.0954,-84.516,"Stadium"
"Cleveland Browns","Cleveland","Huntington Bank Field",41.5061,-81.6995,"Stadium"
"Dallas Cowboys","Arlington","AT&T Stadium",32.7479,-97.0929,"Retractable Roof"
"Denver Broncos","Denver","Empower Field at Mile High",39.7439,-105.0201,"Stadium"
"Detroit Lions","Detroit","Ford Field",42.34,-83.0456,"Dome"
"Green Bay Packers","Green Bay","Lambeau Field",44.5013,-88.0622,"Stadium"
"Houston Texans","Houston","Reliant Stadium",29.6847,-95.4107,"Retractable Roof"
"Indianapolis Colts","Indianapolis","Lucas Oil Stadium",39.7601,-86.1639,"Retractable Roof"
"Jacksonville Jaguars","Jacksonville","EverBank Stadium",30.3239,-81.6373,"Stadium"
"Kansas City Chiefs","Kansas City","GEHA Field at Arrowhead Stadium",39.0489,-94.4839,"Stadium"
"Las Vegas Raiders","Las Vegas","Allegiant Stadium",36.0908,-115.1837,"Dome"
"Los Angeles Chargers","Inglewood","SoFi Stadium",33.9535,-118.3392,"Dome"
"Los Angeles Rams","Inglewood","SoFi Stadium",33.9535,-118.3392,"Dome"
"Miami Dolphins","Miami Gardens","Hard Rock Stadium",25.958,-80.2389,"Stadium"
"Minnesota Vikings","Minneapolis","U.S. Bank Stadium",44.9736,-93.2582,"Dome"
"New England Patriots","Foxborough","Gillette Stadium",42.0909,-71.2643,"Stadium"
"New Orleans Saints","New Orleans","Caesars Superdome",29.951,-90.0812,"Dome"
"New York Giants","East Rutherford","MetLife Stadium",40.8135,-74.0745,"Stadium"
"New York Jets","East Rutherford","MetLife Stadium",40.8135,-74.0745,"Stadium"
"Philadelphia Eagles","Philadelphia","Lincoln Financial Field",39.9008,-75.1675,"Stadium"
"Pittsburgh Steelers","Pittsburgh","Acrisure Stadium",40.4468,-80.0158,"Stadium"
"San Francisco 49ers","Santa Clara","Levi's Stadium",37.4033,-121.9697,"Stadium"
"Seattle Seahawks","Seattle","Lumen Field",47.5952,-122.3316,"Stadium"
"Tampa Bay Buccaneers","Tampa","Raymond James Stadium",27.9759,-82.5033,"Stadium"
"Tennessee Titans","Nashville","Nissan Stadium",36.1665,-86.7713,"Stadium"
"Washington Commanders","Landover","Northwest Stadium",38.9077,-76.8645,"Stadium"
